"﻿Date","Open","High","Low","Close","Volume","Code"
"3-Mar-11",173.71,174.46,172.05,172.79,4139104,"AMZN"
"2-Mar-11",169.09,173.3,168.35,172.02,5186388,"AMZN"
"1-Mar-11",173.53,173.96,168.67,169.44,5847443,"AMZN"
"28-Feb-11",173.91,175.89,172.15,173.29,6788009,"AMZN"
"25-Feb-11",178.95,180.75,177.1,177.24,4194514,"AMZN"
"24-Feb-11",176.86,179.75,174.56,177.75,4661140,"AMZN"
"23-Feb-11",180.25,181.15,174.39,176.68,5487837,"AMZN"
"22-Feb-11",183.68,184.72,179.32,180.42,5639604,"AMZN"
"18-Feb-11",186.5,186.5,186.5,186.5,0,"AMZN"
"17-Feb-11",185.77,189.09,185.31,187.76,3426374,"AMZN"
"16-Feb-11",189.77,190,186.35,186.62,4633082,"AMZN"
"15-Feb-11",188.73,190.49,188.25,189.03,3890806,"AMZN"
"14-Feb-11",189.25,191.4,188.35,190.42,4070689,"AMZN"
"11-Feb-11",185.56,189.5,185.37,189.25,4497699,"AMZN"
"10-Feb-11",184.39,187.24,183.6,186.21,5332604,"AMZN"
"9-Feb-11",183.15,186.47,182.26,185.3,8315841,"AMZN"
"8-Feb-11",176.66,183.11,176.59,183.06,7802311,"AMZN"
"7-Feb-11",176.15,177.55,174.77,176.43,5256698,"AMZN"
"4-Feb-11",174,177.19,173.75,175.93,4352491,"AMZN"
"3-Feb-11",173.5,174.67,171.95,173.71,3681259,"AMZN"
"2-Feb-11",171.42,175.2,170.87,173.53,4551448,"AMZN"
"1-Feb-11",170.52,173.1,169.51,172.11,5089748,"AMZN"
"31-Jan-11",170.16,171.44,167.41,169.64,6721545,"AMZN"
"28-Jan-11",171.45,173.71,166.9,171.14,19914851,"AMZN"
"27-Jan-11",177.48,185,177.31,184.45,14594320,"AMZN"
"26-Jan-11",177.51,177.89,174.63,175.39,3762167,"AMZN"
"25-Jan-11",175.5,176.75,174.28,176.7,4653276,"AMZN"
"24-Jan-11",177.95,178.49,174.15,176.85,5602345,"AMZN"
"21-Jan-11",183,183.25,176.84,177.42,6812240,"AMZN"
"20-Jan-11",185.29,186.85,181,181.96,5717568,"AMZN"
"19-Jan-11",190.9,191,186.21,186.87,3889410,"AMZN"
"18-Jan-11",188.66,191.6,188.25,191.25,3901726,"AMZN"
"14-Jan-11",188.75,188.75,188.75,188.75,0,"AMZN"
"13-Jan-11",183.6,186.45,183.51,185.53,3368768,"AMZN"
"12-Jan-11",185.36,185.38,183.3,184.08,2679087,"AMZN"
"11-Jan-11",185.42,186,183.21,184.34,2815814,"AMZN"
"10-Jan-11",185.04,185.29,182.51,184.68,3376678,"AMZN"
"7-Jan-11",187.88,188.45,183.74,185.49,5222815,"AMZN"
"6-Jan-11",186.5,187.41,185.25,185.86,3179610,"AMZN"
"5-Jan-11",184.1,187.45,184.07,187.42,3418779,"AMZN"
"4-Jan-11",186.15,187.7,183.78,185.01,5034775,"AMZN"
"3-Jan-11",181.37,186,181.21,184.22,5333813,"AMZN"
"31-Dec-10",181.96,182.3,179.51,180,3453895,"AMZN"
"30-Dec-10",183.92,184.55,182.75,182.75,1961549,"AMZN"
"29-Dec-10",181.8,184.35,180.41,183.37,3122379,"AMZN"
"28-Dec-10",182.1,182.77,181.05,181.09,1975718,"AMZN"
"27-Dec-10",181.9,183.14,180.45,182.14,2249734,"AMZN"
"23-Dec-10",182.59,182.59,182.59,182.59,0,"AMZN"
"22-Dec-10",185,185.45,184.11,184.76,2580840,"AMZN"
"21-Dec-10",183.88,185.65,182.6,184.75,5112753,"AMZN"
"20-Dec-10",179.27,183.98,178.04,183.29,8735272,"AMZN"
"17-Dec-10",178.41,178.75,177.02,177.58,4508074,"AMZN"
"16-Dec-10",175.58,178.3,175.04,178.04,4123222,"AMZN"
"15-Dec-10",173.72,179,173.59,175.57,5817620,"AMZN"
"14-Dec-10",174.28,175.76,173.09,173.94,3689528,"AMZN"
"13-Dec-10",176.33,177.94,173.73,174.25,4206511,"AMZN"
"10-Dec-10",174.88,175.95,173.36,175.62,3566523,"AMZN"
"9-Dec-10",177.77,178.11,173.8,174.85,4555974,"AMZN"
"8-Dec-10",177.49,178.16,175.2,176.29,3735998,"AMZN"
"7-Dec-10",180.5,181.47,176.57,176.77,5079928,"AMZN"
"6-Dec-10",175.52,178.43,174.6,178.05,5663482,"AMZN"
"3-Dec-10",175.5,176.4,174.05,175.68,4909659,"AMZN"
"2-Dec-10",176.86,177.45,173.92,176.53,5541683,"AMZN"
"1-Dec-10",179.16,179.32,176,176.55,5778757,"AMZN"
"30-Nov-10",176.95,177.7,174.9,175.4,6767225,"AMZN"
"29-Nov-10",179.99,181.84,177.57,179.49,9699540,"AMZN"
"26-Nov-10",177.36,178.38,176.16,177.2,4272138,"AMZN"
"24-Nov-10",177.25,177.25,177.25,177.25,0,"AMZN"
"23-Nov-10",168.61,168.81,164.62,168.2,6472593,"AMZN"
"22-Nov-10",165.1,170.6,165,170.39,6149610,"AMZN"
"19-Nov-10",163.95,164.99,162.84,164.82,4466200,"AMZN"
"18-Nov-10",160.74,165,160.74,164.17,6230844,"AMZN"
"17-Nov-10",157.84,160.85,157.55,158.35,4527206,"AMZN"
"16-Nov-10",158.74,160.91,156.77,157.78,6573783,"AMZN"
"15-Nov-10",165.16,165.35,158.56,158.9,9648534,"AMZN"
"12-Nov-10",170.12,171.26,165.05,165.68,7167318,"AMZN"
"11-Nov-10",171,172.05,169.42,170.37,5697867,"AMZN"
"10-Nov-10",170.59,173.37,169.41,173.33,5450045,"AMZN"
"9-Nov-10",172.67,173.14,169.06,170.27,3980867,"AMZN"
"8-Nov-10",170.01,173.2,168.78,171.99,5710955,"AMZN"
"5-Nov-10",169.35,171.65,168.59,170.77,5218668,"AMZN"
"4-Nov-10",169.86,172.53,168.4,168.93,7402048,"AMZN"
"3-Nov-10",165.4,168.61,162.29,168.47,6119680,"AMZN"
"2-Nov-10",163.75,165.94,163.36,164.61,4264710,"AMZN"
"1-Nov-10",164.45,164.58,161.52,162.58,5245249,"AMZN"
"29-Oct-10",165.8,168.5,164.81,165.23,4998465,"AMZN"
"28-Oct-10",168.31,168.49,165.05,166.84,4688210,"AMZN"
