"﻿Date","Open","High","Low","Close","Volume","Code"
"23-Mar-11",575.19,582.45,572,582.16,1816164,"GOOG"
"22-Mar-11",577.27,579.23,572.51,577.32,1887185,"GOOG"
"21-Mar-11",570.22,579.8,569.02,576.5,3022174,"GOOG"
"18-Mar-11",564.64,567.99,559.74,561.06,3302850,"GOOG"
"17-Mar-11",564.48,569,560.54,561.36,2899727,"GOOG"
"16-Mar-11",568.01,569.79,551.28,557.1,3800712,"GOOG"
"15-Mar-11",557.5,571,555.5,569.56,4006021,"GOOG"
"14-Mar-11",572.8,578.29,568.02,569.99,2813969,"GOOG"
"11-Mar-11",578.22,580,573.33,576.71,3029401,"GOOG"
"10-Mar-11",585.44,586.62,579.45,580.3,3127211,"GOOG"
"9-Mar-11",591,594.51,585.75,591.77,2150991,"GOOG"
"8-Mar-11",592.93,597.98,590.2,592.31,2287771,"GOOG"
"7-Mar-11",600.55,603.69,587,591.66,3461738,"GOOG"
"4-Mar-11",608.33,608.98,600.2,600.62,3011542,"GOOG"
"3-Mar-11",606.38,611.49,605,609.56,1949335,"GOOG"
"2-Mar-11",599.8,606,595.19,600.79,2026933,"GOOG"
"1-Mar-11",617.78,619.22,599.3,600.76,3323575,"GOOG"
"28-Feb-11",610,616.49,608.01,613.4,2284336,"GOOG"
"25-Feb-11",611.86,614.72,609.5,610.04,1935852,"GOOG"
"24-Feb-11",611.39,613.09,601.35,608.82,2712959,"GOOG"
"23-Feb-11",610.33,614.7,604,611.32,2891878,"GOOG"
"22-Feb-11",620.03,624.93,607.77,610.21,3642208,"GOOG"
"18-Feb-11",630.08,630.08,630.08,630.08,0,"GOOG"
"17-Feb-11",621.25,627.25,620.28,625.26,1479175,"GOOG"
"16-Feb-11",625.63,626.5,622.1,624.22,1686963,"GOOG"
"15-Feb-11",627.32,630.09,623.1,624.15,2092614,"GOOG"
"14-Feb-11",623.34,629.64,620.04,628.15,2131868,"GOOG"
"11-Feb-11",613.79,625,613,624.5,2593390,"GOOG"
"10-Feb-11",613.9,617.5,611.56,616.44,2336117,"GOOG"
"9-Feb-11",616.87,619.45,612.34,616.5,1843394,"GOOG"
"8-Feb-11",614.93,619.63,614.51,618.38,1696452,"GOOG"
"7-Feb-11",610.16,618.39,609.21,614.3,1802017,"GOOG"
"4-Feb-11",610.15,611.44,606.61,610.98,1552505,"GOOG"
"3-Feb-11",609.48,611.45,606.13,610.15,1497474,"GOOG"
"2-Feb-11",611,614.34,607.53,612,1760755,"GOOG"
"1-Feb-11",604.49,613.36,603.11,611.04,2745862,"GOOG"
"31-Jan-11",603.6,604.47,595.55,600.36,2810069,"GOOG"
"28-Jan-11",619.07,620.36,599.76,600.99,4233962,"GOOG"
"27-Jan-11",617.89,619.7,613.25,616.79,2019427,"GOOG"
"26-Jan-11",620.33,622.49,615.28,616.5,2041746,"GOOG"
"25-Jan-11",608.2,620.69,606.52,619.91,3647644,"GOOG"
"24-Jan-11",607.57,612.49,601.23,611.08,4604997,"GOOG"
"21-Jan-11",639.58,641.73,611.36,611.83,8904357,"GOOG"
"20-Jan-11",632.21,634.08,623.29,626.77,5485733,"GOOG"
"19-Jan-11",642.12,642.96,629.66,631.75,3412573,"GOOG"
"18-Jan-11",626.06,641.99,625.27,639.63,3620063,"GOOG"
"14-Jan-11",624.18,624.18,624.18,624.18,0,"GOOG"
"13-Jan-11",616.97,619.67,614.16,616.69,1333947,"GOOG"
"12-Jan-11",619.35,619.35,614.77,616.87,1632698,"GOOG"
"11-Jan-11",617.71,618.8,614.5,616.01,1440991,"GOOG"
"10-Jan-11",614.8,615.39,608.56,614.21,1581069,"GOOG"
