"﻿Date","Open","High","Low","Close","Volume","Code"
"11-Feb-11",354.75,357.8,353.54,356.85,13127564,"AAPL"
"10-Feb-11",357.39,360,348,354.54,33162480,"AAPL"
"9-Feb-11",355.19,359,354.87,358.16,17240870,"AAPL"
"8-Feb-11",353.68,355.52,352.15,355.2,13608558,"AAPL"
"7-Feb-11",347.89,353.25,347.64,351.88,17322130,"AAPL"
"4-Feb-11",343.64,346.7,343.51,346.5,11494225,"AAPL"
"3-Feb-11",343.8,344.24,338.55,343.44,14064164,"AAPL"
"2-Feb-11",344.45,345.25,343.55,344.32,9248401,"AAPL"
"1-Feb-11",341.3,345.65,340.98,345.03,15236849,"AAPL"
"31-Jan-11",335.8,340.04,334.3,339.32,13473086,"AAPL"
"28-Jan-11",344.17,344.4,333.53,336.1,21144878,"AAPL"
"27-Jan-11",343.78,344.69,342.83,343.21,10179423,"AAPL"
"26-Jan-11",342.96,345.6,341.5,343.85,18102397,"AAPL"
"25-Jan-11",336.33,341.44,334.57,341.4,19530950,"AAPL"
"24-Jan-11",326.87,337.45,326.72,337.45,20524364,"AAPL"
"21-Jan-11",333.77,334.88,326.63,326.72,26942816,"AAPL"
"20-Jan-11",336.43,338.3,330.12,332.68,27313899,"AAPL"
"19-Jan-11",348.35,348.6,336.88,338.84,40557457,"AAPL"
"18-Jan-11",329.52,344.76,326,340.65,67178100,"AAPL"
"14-Jan-11",348.48,348.48,348.48,348.48,0,"AAPL"
"13-Jan-11",345.16,346.64,343.85,345.68,10648026,"AAPL"
"12-Jan-11",343.25,344.43,342,344.42,10806330,"AAPL"
"11-Jan-11",344.88,344.96,339.47,341.64,15859999,"AAPL"
"10-Jan-11",338.83,343.23,337.17,342.46,16019926,"AAPL"
"7-Jan-11",333.99,336.35,331.9,336.12,11140316,"AAPL"
"6-Jan-11",334.72,335.25,332.9,333.73,10729518,"AAPL"
"5-Jan-11",329.55,334.34,329.5,334,9125599,"AAPL"
"4-Jan-11",332.44,332.5,328.15,331.29,11048143,"AAPL"
"3-Jan-11",325.64,330.26,324.84,329.57,15897201,"AAPL"
"31-Dec-10",322.95,323.48,321.31,322.56,6916261,"AAPL"
"30-Dec-10",325.48,325.51,323.05,323.66,5630713,"AAPL"
"29-Dec-10",326.22,326.45,325.1,325.29,5831096,"AAPL"
"28-Dec-10",325.91,326.66,325.06,325.47,6282971,"AAPL"
"27-Dec-10",322.85,325.44,321.52,324.68,8921957,"AAPL"
"23-Dec-10",323.6,323.6,323.6,323.6,0,"AAPL"
"22-Dec-10",324.36,325.72,323.55,325.16,9505147,"AAPL"
"21-Dec-10",323,324.39,322.05,324.2,9155412,"AAPL"
"20-Dec-10",321.6,323.25,318.23,322.21,13771742,"AAPL"
"17-Dec-10",321.63,321.79,320.23,320.61,13826724,"AAPL"
"16-Dec-10",321.09,322.61,320.1,321.25,11501014,"AAPL"
"15-Dec-10",320,323,319.19,320.36,14903902,"AAPL"
"14-Dec-10",321.73,322.54,319,320.29,12555966,"AAPL"
"13-Dec-10",324.37,325.06,321,321.67,15707619,"AAPL"
"10-Dec-10",319.65,321.05,318.6,320.56,9377749,"AAPL"
"9-Dec-10",322.13,322.5,319.02,319.76,10505218,"AAPL"
"8-Dec-10",319.63,321.02,317.11,321.01,11497643,"AAPL"
"7-Dec-10",323.8,323.99,318.12,318.21,13980495,"AAPL"
"6-Dec-10",318.64,322.33,318.42,320.15,16017161,"AAPL"
"3-Dec-10",317.01,318.65,316.34,317.44,12227469,"AAPL"
"2-Dec-10",317.53,319,314.89,318.15,16558988,"AAPL"
"1-Dec-10",315.27,317.75,315,316.4,16491096,"AAPL"
"30-Nov-10",313.54,314.36,310.87,311.15,17923329,"AAPL"
"29-Nov-10",315.5,317.48,311.38,316.87,15919985,"AAPL"
"26-Nov-10",313.74,317.7,312.94,315,8490891,"AAPL"
"24-Nov-10",314.8,314.8,314.8,314.8,0,"AAPL"
"23-Nov-10",310.45,311.75,306.56,308.73,18551612,"AAPL"
"22-Nov-10",306.68,313.36,305.87,313.36,14038356,"AAPL"
"19-Nov-10",307.97,308.4,305.24,306.73,13744399,"AAPL"
"18-Nov-10",305.2,309.67,304.69,308.43,17660349,"AAPL"
"17-Nov-10",301.2,303.99,297.76,300.5,17123201,"AAPL"
"16-Nov-10",305.72,307.6,299.32,301.59,23533906,"AAPL"
